country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units
Australia,BOM,WA,9,-32.34,116.18,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar
Temperature,DNI,GHI,DHI,Wind Direction,Wind Speed,,,,,,,,,,,
19.4,0,0,0,102.58837395741,9.15918698192341,,,,,,,,,,,
19.9,0,0,0,120.033627958156,9.02590084134395,,,,,,,,,,,
20.3,0,0,0,137.696763633689,7.33139951207383,,,,,,,,,,,
20.6,0,4,4,137.580169115094,7.31505720554474,,,,,,,,,,,
20.9,0,11,11,133.383937716065,7.03287276933824,,,,,,,,,,,
20.6,0,14,14,132.265044683093,6.91291063331639,,,,,,,,,,,
19.9,0,18,18,134.351491824255,6.81115992647417,,,,,,,,,,,
19,0,41,41,132.621074390647,4.7916357053562,,,,,,,,,,,
18.6,0,37,37,114.765133551178,2.76747558503384,,,,,,,,,,,
18.5,0,30,30,79.3851464605193,2.78469478899937,,,,,,,,,,,
18.5,0,30,30,62.237319486478,2.95184496568461,,,,,,,,,,,
18.3,0,48,48,48.831676171062,3.96802015427713,,,,,,,,,,,
17.9,0,70,70,40.6570681211115,5.35208088598821,,,,,,,,,,,
17.6,0,81,81,38.9337954721347,6.92064279611604,,,,,,,,,,,
17.3,0,41,41,39.3322338806211,6.60319312422563,,,,,,,,,,,
17,0,51,51,41.5762365106245,6.32620097892671,,,,,,,,,,,
16.6,0,42,42,47.2397256675757,6.39902379135049,,,,,,,,,,,
16.2,0,10,10,51.9614207031308,7.09262866755532,,,,,,,,,,,
15.6,0,0,0,59.3801326318757,7.05718329728244,,,,,,,,,,,
14.9,0,0,0,67.0871118950008,8.0481063215327,,,,,,,,,,,
14.5,0,0,0,69.4423022866742,9.50056080056765,,,,,,,,,,,
14.3,0,0,0,70.6855741400101,10.5681006896455,,,,,,,,,,,
14.1,0,0,0,76.4846965539711,11.0820240882589,,,,,,,,,,,
13.7,0,0,0,96.7057522265451,10.4502902136802,,,,,,,,,,,
13.3,0,0,0,113.40178712742,10.0499937258727,,,,,,,,,,,
12.9,0,0,0,132.351562304369,10.4155968846933,,,,,,,,,,,
12.8,6,1,1,144.294522164807,11.3424029900456,,,,,,,,,,,
12.9,308,73,26,152.051123475902,10.6843907094692,,,,,,,,,,,
13.1,657,240,52,158.024755564696,10.2146633539045,,,,,,,,,,,
13.7,838,444,66,160.606773895852,9.52596631690185,,,,,,,,,,,
14.7,929,644,74,164.538767745956,8.32565169690635,,,,,,,,,,,
15.7,981,818,80,152.292039354898,5.79309937174345,,,,,,,,,,,
16.6,1010,950,84,151.36280833609,3.51626341543221,,,,,,,,,,,
17.3,1026,1033,86,112.203108183382,2.28119226537988,,,,,,,,,,,
18,1033,1058,85,84.2378857046696,2.36101357469838,,,,,,,,,,,
18.4,1029,1023,82,65.6938993426238,3.27756741862906,,,,,,,,,,,
18.6,1012,931,79,57.9893814377157,4.40714973622713,,,,,,,,,,,
18.7,978,789,76,53.5276024255526,5.73534830399116,,,,,,,,,,,
18.4,856,598,92,44.2381667029837,5.71502168390853,,,,,,,,,,,
17.8,287,296,145,43.7744381058087,6.82847648818276,,,,,,,,,,,
17.1,0,96,96,44.6042389449602,8.34804076833363,,,,,,,,,,,
16.3,0,20,20,54.3544351229064,8.88967531053487,,,,,,,,,,,
15.4,0,0,0,62.6629142535468,9.13188990216236,,,,,,,,,,,
14.5,0,0,0,73.4215530636874,10.1188072997801,,,,,,,,,,,
14.1,0,0,0,80.2163661153412,11.0787976375195,,,,,,,,,,,
14.2,0,0,0,104.263627586484,12.5814453560829,,,,,,,,,,,
14.3,0,0,0,127.609282375313,14.6138626071926,,,,,,,,,,,
14.3,0,0,0,144.829240362244,15.2487533690724,,,,,,,,,,,
14.2,0,0,0,151.393556667246,14.8700503261268,,,,,,,,,,,
14.1,0,0,0,160.158636314725,15.4272189494951,,,,,,,,,,,
14.2,0,0,0,172.90737151625,14.9013406342931,,,,,,,,,,,
14.6,0,21,21,177.433716486198,14.4351687296654,,,,,,,,,,,
14.9,0,98,98,182.288717257073,12.8448119880269,,,,,,,,,,,
15.6,0,153,153,184.791471916008,12.1269454044807,,,,,,,,,,,
