datetime,SGI,DNI,SDI,GHI,GDI
2019-11-26 04:00:00,32.77777777777778,228.0555555555556,13.055555555555555,32.77777777777778,13.055555555555555
2019-11-26 05:00:00,233.05555555555557,732.7777777777778,48.888888888888886,233.05555555555557,48.888888888888886
2019-11-26 06:00:00,478.3333333333333,908.0555555555557,67.77777777777777,478.3333333333333,67.77777777777777
2019-11-26 07:00:00,713.3333333333334,994.4444444444443,79.44444444444446,713.3333333333334,79.44444444444446
2019-11-26 08:00:00,910.2777777777778,1039.1666666666667,86.94444444444444,910.2777777777778,86.94444444444444
2019-11-26 09:00:00,1056.111111111111,1063.888888888889,91.94444444444444,1056.111111111111,91.94444444444444
2019-11-26 10:00:00,1143.3333333333333,1080.8333333333333,94.72222222222224,1143.3333333333333,94.72222222222224
2019-11-26 11:00:00,1155.8333333333337,1082.5000000000002,95.0,1155.8333333333337,95.0
2019-11-26 12:00:00,1100.2777777777778,1074.4444444444443,93.33333333333331,1100.2777777777778,93.33333333333331
2019-11-26 13:00:00,978.8888888888888,1056.9444444444443,89.16666666666667,978.8888888888888,89.16666666666667
2019-11-26 14:00:00,799.7222222222222,1021.6666666666666,82.77777777777777,799.7222222222222,82.77777777777777
2019-11-26 15:00:00,577.2222222222222,957.2222222222222,72.77777777777777,577.2222222222222,72.77777777777777
2019-11-26 16:00:00,331.6666666666667,830.5555555555555,57.50000000000001,331.6666666666667,57.50000000000001
2019-11-26 17:00:00,97.77777777777776,499.72222222222223,29.72222222222222,97.77777777777776,29.72222222222222
2019-11-26 18:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-26 19:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-26 20:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-26 21:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-26 22:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-26 23:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-27 00:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-27 01:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-27 02:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-27 03:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-27 04:00:00,33.611111111111114,234.72222222222223,13.333333333333334,33.611111111111114,13.333333333333334
2019-11-27 05:00:00,235.83333333333331,741.9444444444446,48.888888888888886,235.83333333333331,48.888888888888886
2019-11-27 06:00:00,482.22222222222223,916.6666666666669,67.77777777777777,482.22222222222223,67.77777777777777
2019-11-27 07:00:00,715.2777777777778,997.5,79.44444444444446,715.2777777777778,79.44444444444446
2019-11-27 08:00:00,913.8888888888888,1043.0555555555557,86.94444444444444,913.8888888888888,86.94444444444444
2019-11-27 09:00:00,1060.5555555555557,1068.611111111111,91.94444444444444,1060.5555555555557,91.94444444444444
2019-11-27 10:00:00,1142.5000000000002,1079.4444444444443,94.44444444444444,1142.5000000000002,94.44444444444444
2019-11-27 11:00:00,1156.111111111111,1081.9444444444443,95.0,1156.111111111111,95.0
2019-11-27 12:00:00,1100.2777777777778,1073.3333333333333,93.33333333333331,1100.2777777777778,93.33333333333331
2019-11-27 13:00:00,975.0,1050.5555555555557,89.16666666666667,975.0,89.16666666666667
2019-11-27 14:00:00,796.3888888888889,1014.4444444444443,82.77777777777777,796.3888888888889,82.77777777777777
2019-11-27 15:00:00,545.5555555555555,776.9444444444445,134.16666666666666,545.5555555555555,134.16666666666666
2019-11-27 16:00:00,305.55555555555554,619.1666666666666,84.72222222222223,305.55555555555554,84.72222222222223
2019-11-27 17:00:00,67.5,132.50000000000003,47.77777777777778,67.5,47.77777777777778
2019-11-27 18:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-27 19:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-27 20:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-27 21:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-27 22:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-27 23:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-28 00:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-28 01:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-28 02:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-28 03:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-28 04:00:00,11.666666666666666,0.0,11.666666666666666,11.666666666666666,11.666666666666666
2019-11-28 05:00:00,90.27777777777776,46.388888888888886,78.33333333333333,90.27777777777776,78.33333333333333
2019-11-28 06:00:00,258.6111111111111,74.16666666666667,226.38888888888889,258.6111111111111,226.38888888888889
2019-11-28 07:00:00,424.16666666666674,66.94444444444444,380.0,424.16666666666674,380.0
2019-11-28 08:00:00,649.4444444444445,209.44444444444449,481.6666666666667,649.4444444444445,481.6666666666667
2019-11-28 09:00:00,844.4444444444445,448.05555555555554,433.3333333333333,844.4444444444445,433.3333333333333
2019-11-28 10:00:00,690.8333333333334,212.22222222222223,486.6666666666667,690.8333333333334,486.6666666666667
2019-11-28 11:00:00,692.2222222222222,121.94444444444444,572.5,692.2222222222222,572.5
2019-11-28 12:00:00,713.3333333333334,170.83333333333334,552.5,713.3333333333334,552.5
2019-11-28 13:00:00,465.0,94.16666666666669,385.27777777777777,465.0,385.27777777777777
2019-11-28 14:00:00,237.5,100.83333333333331,166.38888888888889,237.5,166.38888888888889
2019-11-28 15:00:00,155.27777777777777,66.3888888888889,119.16666666666669,155.27777777777777,119.16666666666669
2019-11-28 16:00:00,112.22222222222224,53.61111111111112,94.72222222222224,112.22222222222224,94.72222222222224
2019-11-28 17:00:00,33.05555555555556,24.16666666666667,28.611111111111114,33.05555555555556,28.611111111111114
2019-11-28 18:00:00,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556
2019-11-28 19:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-28 20:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-28 21:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-28 22:00:00,0.0,0.0,0.0,0.0,0.0
